repo_full_name,adoption_date,status,created_at,has_post_window,has_pre_window
spatie/laravel-sluggable,2019-12-06 00:00:00+00:00,ok,2015-12-23 21:49:47+00:00,True,True
Zylann/godot_voxel,2020-09-07 00:00:00+00:00,ok,2016-05-01 21:44:28+00:00,True,True
WSTxda/SwitchAI,2025-05-25 00:00:00+00:00,ok,2024-02-03 03:07:35+00:00,True,True
caarlos0/env,2020-06-23 00:00:00+00:00,ok,2015-07-28 02:14:37+00:00,True,True
tmux/tmux,2021-06-10 00:00:00+00:00,ok,2015-06-03 23:32:55+00:00,True,True
t1m0thyj/WinDynamicDesktop,2020-10-23 00:00:00+00:00,ok,2018-06-08 23:32:27+00:00,True,True
desktop/desktop,2020-04-28 00:00:00+00:00,ok,2016-05-11 15:59:00+00:00,True,True
PHPMailer/PHPMailer,2019-10-02 00:00:00+00:00,ok,2011-08-23 07:57:17+00:00,True,True
TiddlyWiki/TiddlyWiki5,2020-08-28 00:00:00+00:00,ok,2011-11-22 14:26:07+00:00,True,True
JabRef/jabref,2019-09-26 00:00:00+00:00,ok,2014-03-11 14:48:42+00:00,True,True
btcsuite/btcd,2020-05-13 00:00:00+00:00,ok,2013-08-06 18:10:52+00:00,True,True
qgis/QGIS,2019-11-19 00:00:00+00:00,ok,2011-05-02 08:06:26+00:00,True,True
protobuf-net/protobuf-net,2020-01-26 00:00:00+00:00,ok,2014-06-16 09:05:30+00:00,True,True
ElementsProject/lightning,2021-01-28 00:00:00+00:00,ok,2015-06-13 00:04:22+00:00,True,True
google/go-github,2019-11-14 00:00:00+00:00,ok,2013-05-24 16:42:58+00:00,True,True
mstange/samply,2022-07-14 00:00:00+00:00,ok,2020-05-25 18:30:46+00:00,True,True
google/bloaty,2021-07-30 00:00:00+00:00,ok,2016-11-07 17:04:01+00:00,True,True
fwcd/kotlin-language-server,2020-12-27 00:00:00+00:00,ok,2018-05-28 12:40:14+00:00,True,True
google/tarpc,2019-12-06 00:00:00+00:00,ok,2016-02-11 01:07:24+00:00,True,True
nothings/stb,2021-07-07 00:00:00+00:00,ok,2014-05-25 16:51:23+00:00,True,True
boostorg/beast,2021-03-18 00:00:00+00:00,ok,2013-06-16 22:26:09+00:00,True,True
hickory-dns/hickory-dns,2019-12-12 00:00:00+00:00,ok,2015-08-08 02:47:12+00:00,True,True
jemalloc/jemalloc,2023-06-23 00:00:00+00:00,ok,2013-10-03 21:37:32+00:00,True,True
twilio/twilio-php,2021-11-01 00:00:00+00:00,ok,2009-09-06 23:41:16+00:00,True,True
shikijs/shiki,2020-08-03 00:00:00+00:00,ok,2018-10-29 22:16:21+00:00,True,True
sabre-io/Baikal,2021-11-03 00:00:00+00:00,ok,2012-02-27 20:22:55+00:00,True,True
react/create-react-app,2019-10-22 00:00:00+00:00,ok,2016-07-17 14:55:11+00:00,True,True
picocms/Pico,2021-03-09 00:00:00+00:00,ok,2012-04-04 13:46:20+00:00,True,True
Zettlr/Zettlr,2020-01-24 00:00:00+00:00,ok,2017-12-26 18:34:19+00:00,True,True
