repo_full_name,reference_month,pre_commits
darjun/go-daily-lib,2021-12-01,30
Exrick/xboot,2019-12-01,41
peterq/pan-light,2023-07-01,0
Meituan-Dianping/Leaf,2020-07-01,33
awesome-print/awesome_print,2019-11-01,19
Masterminds/glide,2022-06-01,0
bramp/js-sequence-diagrams,2023-07-01,1
devopsgroup-io/vagrant-digitalocean,2024-01-01,3
Masterminds/squirrel,2023-01-01,3
ejci/favico.js,2020-03-01,0
mpociot/laravel-apidoc-generator,2021-02-01,92
EWSoftware/SHFB,2022-04-01,11
lucadegasperi/oauth2-server-laravel,2024-08-01,0
zhujiang521/PlayAndroid,2022-08-01,23
lilishop/lilishop,2023-05-01,549
microsoft/WinUI-Gallery,2022-01-01,27
fex-team/fis,2019-08-01,2
drakeet/MultiType,2020-04-01,34
yhzhang0128/egos-2000,2024-11-01,54
Tencent/libco,2024-06-01,0
davemorrissey/subsampling-scale-image-view,2021-03-01,4
faressoft/terminalizer,2025-04-01,6
bozbez/win-capture-audio,2023-05-01,13
ncapdevi/FragNav,2022-12-01,0
deepseek-ai/DeepSeek-Coder,2025-08-01,0
memochou1993/gpt-ai-assistant,2025-04-01,27
0xZ0F/Z0FCourse_ReverseEngineering,2020-12-01,117
utterance/utterances,2023-02-01,5
linkedin/databus,2021-12-01,0
3masterplus/book,2022-03-01,3
linyacool/WebServer,2019-10-01,8
marijnz/unity-toolbar-extender,2025-01-01,0
emojicode/emojicode,2019-12-01,197
markzhai/AndroidPerformanceMonitor,2020-05-01,0
netease-youdao/QAnything,2025-08-01,169
Tencent/tinker,2022-01-01,106
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,2021-10-01,10
Alinshans/MyTinySTL,2019-12-01,8
midudev/aprendiendo-react,2021-11-01,0
kardianos/service,2020-02-01,9
amitshekhariitbhu/from-java-to-kotlin,2023-05-01,6
tariqbuilds/linux-dash,2020-09-01,6
bilibili/DanmakuFlameMaster,2020-07-01,0
Kr1s77/awesome-python-login-model,2021-03-01,22
tensorflow/playground,2024-09-01,0
linw7/Skill-Tree,2019-10-01,4
jp9000/OBS,2020-05-01,0
jhu-ep-coursera/fullstack-course4,2022-10-01,9
Netflix/dynomite,2021-10-01,9
guillaumepotier/Parsley.js,2020-11-01,18
ustbhuangyi/vue-analysis,2023-01-01,0
vdaubry/github-awards,2020-05-01,0
trojan-gfw/trojan,2021-06-01,10
bytedance/bhook,2023-05-01,24
LionSec/xerosploit,2020-05-01,0
id-Software/DOOM-3-BFG,2020-12-01,0
thoughtbot/hotwire-example-template,2022-05-01,6
drh/lcc,2022-03-01,0
fumiama/copymanga,2022-11-01,18
mlandauer/cuttlefish,2019-12-01,13
TideSec/Mars,2023-05-01,0
FakeFishGames/Barotrauma,2019-11-01,1822
symfony/contracts,2020-11-01,101
nemanjarogic/DesignPatternsLibrary,2022-11-01,47
JoanZapata/android-iconify,2022-04-01,0
linyiqun/DataMiningAlgorithm,2021-12-01,0
stefanprodan/AspNetCoreRateLimit,2020-01-01,39
FLIF-hub/FLIF,2020-08-01,4
binarylogic/settingslogic,2025-04-01,0
symfony/console,2023-01-01,260
panique/huge,2024-05-01,0
rubymotion-community/BubbleWrap,2022-03-01,0
mit-pdos/xv6-riscv,2022-04-01,21
eddycjy/go-gin-example,2021-08-01,1
php-fig/log,2022-04-01,13
flike/kingshard,2021-12-01,1
styled-system/styled-system,2020-03-01,1391
mbebenita/Broadway,2021-03-01,0
aanand/git-up,2022-04-01,0
androiddevnotes/awesome-android-learning-resources,2022-04-01,24
mail-in-a-box/mailinabox,2020-07-01,83
SignalR/SignalR,2023-04-01,9
huangyanbin/smartTable,2022-07-01,0
rajkumardusad/IP-Tracer,2020-12-01,12
php-fig/link,2020-09-01,2
FelixKratz/SketchyBar,2023-02-01,288
n64decomp/sm64,2020-12-01,13
mackron/miniaudio,2023-12-01,258
sqshq/piggymetrics,2019-09-01,26
lgvalle/Material-Animations,2021-12-01,0
WireGuard/wireguard-android,2024-09-01,8
cundong/SmartAppUpdates,2022-05-01,0
FongMi/TV,2025-03-01,1054
petewarden/dstk,2022-07-01,0
xero/figlet-fonts,2023-01-01,2
leahneukirchen/nq,2023-06-01,2
jasonhua95/awesome-dotnet-core,2023-04-01,0
fighting41love/funNLP,2021-03-01,13
tybenz/vimdeck,2024-03-01,0
huanghaibin-dev/CalendarView,2024-01-01,0
NotFound9/interviewGuide,2024-01-01,11
goldze/MVVMHabit,2025-03-01,0
zkavtaskin/Domain-Driven-Design-Example,2022-09-01,0
lucidrains/vit-pytorch,2022-11-01,83
mpitutorial/mpitutorial,2023-02-01,3
ShareDropio/sharedrop,2019-08-01,21
Interkarma/daggerfall-unity,2020-08-01,1760
hanslub42/rlwrap,2022-03-01,14
ThingEngineer/PHP-MySQLi-Database-Class,2021-10-01,3
robfig/cron,2020-11-01,9
leokhoa/laragon,2021-03-01,17
macrozheng/mall,2023-05-01,156
libopencm3/libopencm3,2022-09-01,46
