treated_repo,control_repo,language,adoption_date,adoption_month,treated_created_at,control_created_at,metadata_distance,treated_pre_commits,control_pre_commits,treated_age_at_index_days,control_age_at_index_days,diff_log_pre_commits,diff_age_days,refined_distance
github/gh-ost,gizak/termui,Go,2019-08-11 00:00:00+00:00,2019-08-01,2016-03-21 10:08:52,2015-02-03 14:09:27,0.6793263568540169,124,136,1227,1639,0.09166718852582356,412,2.9350142795359484
chalk/chalk,ovity/octotree,JavaScript,2021-01-02 00:00:00+00:00,2021-01-01,2013-08-03 00:20:12,2014-05-09 18:15:20,0.5969747069059601,16,28,2707,2428,0.534082485930258,279,3.0339613127632425
android/wear-os-samples,AndroidCoderPeng/DailyTask,Kotlin,2020-09-24 00:00:00+00:00,2020-09-01,2019-06-14 21:24:27,2019-12-25 09:32:01,0.928464942444424,47,89,444,250,0.6286086594223743,194,3.0420468700165464
DatabaseCleaner/database_cleaner,awesome-print/awesome_print,Ruby,2022-01-14 00:00:00+00:00,2022-01-01,2009-03-05 06:08:15,2010-04-03 04:45:43,0.7687261438985763,19,14,4684,4290,0.2876820724517808,394,3.0463077008077537
matthiasmullie/minify,Torann/laravel-geoip,PHP,2022-03-15 00:00:00+00:00,2022-03-01,2012-10-09 09:29:58,2013-12-11 22:22:25,0.18393093885281245,8,6,3429,3001,0.25131442828090633,428,3.2103648964724485
cosmos/cosmos-sdk,golang/tools,Go,2020-01-02 00:00:00+00:00,2020-01-01,2016-02-06 07:15:53,2014-11-25 21:07:26,0.759956083682766,1031,1292,1424,1862,0.22546643273034928,438,3.241572431346686
vovgou/loxodon-framework,FakeFishGames/Barotrauma,C#,2021-11-20 00:00:00+00:00,2021-11-01,2017-01-02 03:25:02,2017-06-04 08:45:23,0.19218076501299375,29,60,1763,1610,0.7096764825111559,153,3.2513277770554385
crosire/reshade,chromiumembedded/cef,C++,2025-04-18 00:00:00+00:00,2025-04-01,2016-06-15 23:02:16,2017-04-02 18:19:23,0.21323258741305698,416,229,3211,2920,0.5950069128756059,291,3.2909363234332343
ridgepole/ridgepole,SciRuby/daru,Ruby,2020-08-09 00:00:00+00:00,2020-08-01,2014-06-29 08:12:33,2014-10-04 08:23:21,0.12499795211977763,50,23,2224,2127,0.75377180237638,97,3.328456326689592
eventmachine/eventmachine,rest-client/rest-client,Ruby,2020-03-06 00:00:00+00:00,2020-03-01,2008-08-17 18:35:57,2009-12-07 19:34:29,0.6551971470379959,15,15,4213,3736,0.0,477,3.3669720917732255
