treated_repo,control_repo,adoption_date,reference_month
panjf2000/ants,symfony/polyfill-iconv,2021-02-18 00:00:00+00:00,2021-02-01
SpartnerNL/Laravel-Excel,solstice23/argon-theme,2020-06-26 00:00:00+00:00,2020-06-01
collectiveidea/interactor,Ponderfly/GoogleTranslateIpCheck,2022-01-24 00:00:00+00:00,2022-01-01
k3d-io/k3d,Atmosphere-NX/Atmosphere,2020-11-03 00:00:00+00:00,2020-11-01
huggingface/sentence-transformers,truemail-rb/truemail,2023-11-07 00:00:00+00:00,2023-11-01
t1m0thyj/WinDynamicDesktop,ThreeDotsLabs/wild-workouts-go-ddd-example,2020-10-23 00:00:00+00:00,2020-10-01
TheWidlarzGroup/react-native-video,mickael-kerjean/filestash,2022-04-20 00:00:00+00:00,2022-04-01
dgraph-io/dgraph,SimpleMobileTools/Simple-Music-Player,2020-05-07 00:00:00+00:00,2020-05-01
roslynpad/roslynpad,buuing/lucky-canvas,2019-09-06 00:00:00+00:00,2019-09-01
ThrowTheSwitch/Unity,geokit/geokit-rails,2021-01-17 00:00:00+00:00,2021-01-01
charlesw/tesseract,Demigiant/dotween,2022-01-04 00:00:00+00:00,2022-01-01
ray-project/ray,wix/react-native-calendars,2019-12-18 00:00:00+00:00,2019-12-01
ilyakatz/data-migrate,YSGStudyHards/DotNetGuide,2019-11-21 00:00:00+00:00,2019-11-01
johnxnguyen/Down,cesarferreira/dryrun,2021-03-21 00:00:00+00:00,2021-03-01
chocolatey/choco,zq2599/blog_demos,2021-04-19 00:00:00+00:00,2021-04-01
PowerShell/PowerShell,HangfireIO/Hangfire,2020-04-30 00:00:00+00:00,2020-04-01
swagger-api/swagger-editor,iSoron/uhabits,2021-09-03 00:00:00+00:00,2021-09-01
ankane/ahoy,kickstarter/android-oss,2020-11-19 00:00:00+00:00,2020-11-01
chrome-php/chrome,aanand/deadweight,2020-12-08 00:00:00+00:00,2020-12-01
doctrine/data-fixtures,pingcap/talent-plan,2020-12-04 00:00:00+00:00,2020-12-01
BenSampo/laravel-enum,russross/blackfriday,2020-12-04 00:00:00+00:00,2020-12-01
Free-TV/IPTV,ShahjalalShohag/code-library,2022-08-04 00:00:00+00:00,2022-08-01
vert-x3/vertx-examples,apache/rocketmq-externals,2020-11-27 00:00:00+00:00,2020-11-01
ARMmbed/DAPLink,NLog/NLog,2021-10-23 00:00:00+00:00,2021-10-01
spockframework/spock,caydey/ffshare,2020-06-16 00:00:00+00:00,2020-06-01
thiagoalessio/tesseract-ocr-for-php,inancgumus/learngo,2020-12-06 00:00:00+00:00,2020-12-01
welldone-software/why-did-you-render,KlingAIResearch/LivePortrait,2024-09-09 00:00:00+00:00,2024-09-01
File-New-Project/EarTrumpet,Tencent/matrix,2020-02-24 00:00:00+00:00,2020-02-01
spatie/laravel-translatable,201206030/novel,2020-01-20 00:00:00+00:00,2020-01-01
pydantic/pydantic,airbnb/synapse,2019-12-21 00:00:00+00:00,2019-12-01
mkj/dropbear,chinabugotech/hutool,2021-03-06 00:00:00+00:00,2021-03-01
alibaba/spring-cloud-alibaba,MyCATApache/Mycat-Server,2022-02-22 00:00:00+00:00,2022-02-01
carbon-app/carbon,weld-project/weld,2019-09-13 00:00:00+00:00,2019-09-01
giampaolo/psutil,visualfc/liteide,2020-05-16 00:00:00+00:00,2020-05-01
fukuchi/libqrencode,brynary/rack-bug,2020-08-28 00:00:00+00:00,2020-08-01
qgis/QGIS,gcc-mirror/gcc,2019-11-19 00:00:00+00:00,2019-11-01
airbnb/paris,raganwald-deprecated/homoiconic,2022-01-12 00:00:00+00:00,2022-01-01
TNG/ArchUnit,oss-bandb/GraphView,2020-01-22 00:00:00+00:00,2020-01-01
boostorg/beast,jiangdongguo/AndroidUSBCamera,2021-03-18 00:00:00+00:00,2021-03-01
dagger/dagger,openshift/origin,2022-08-08 00:00:00+00:00,2022-08-01
Simple-XX/SimpleKernel,charlax/professional-programming,2020-10-02 00:00:00+00:00,2020-10-01
TheAlgorithms/C-Sharp,google/gopacket,2019-12-04 00:00:00+00:00,2019-12-01
travisjeffery/timecop,tnodir/fort,2021-02-10 00:00:00+00:00,2021-02-01
badoo/MVICore,zhaoolee/ChineseBQB,2022-08-03 00:00:00+00:00,2022-08-01
peek/peek,dvyukov/go-fuzz,2019-09-27 00:00:00+00:00,2019-09-01
airbnb/lottie-android,Nukem9/dlssg-to-fsr3,2020-02-05 00:00:00+00:00,2020-02-01
hirschmann/nbfc,goldfire/howler.js,2019-11-15 00:00:00+00:00,2019-11-01
punker76/gong-wpf-dragdrop,antoniolg/Kotlin-for-Android-Developers,2023-10-28 00:00:00+00:00,2023-10-01
godotengine/godot,WebKit/WebKit,2020-07-12 00:00:00+00:00,2020-07-01
