treated_repo,control_repo,adoption_date,reference_month
gerardog/gsudo,devopsgroup-io/vagrant-digitalocean,2022-04-17 00:00:00+00:00,2022-04-01
Jrohy/trojan,mpociot/laravel-apidoc-generator,2021-08-26 00:00:00+00:00,2021-08-01
cweagans/composer-patches,EWSoftware/SHFB,2022-12-20 00:00:00+00:00,2022-12-01
troydhanson/uthash,lucadegasperi/oauth2-server-laravel,2022-09-25 00:00:00+00:00,2022-09-01
oskardudycz/EventSourcing.NetCore,microsoft/WinUI-Gallery,2019-08-28 00:00:00+00:00,2019-08-01
symfony/panther,lilishop/lilishop,2020-10-02 00:00:00+00:00,2020-10-01
rubensousa/GravitySnapHelper,fex-team/fis,2020-05-23 00:00:00+00:00,2020-05-01
TheAssassin/AppImageLauncher,drakeet/MultiType,2020-12-12 00:00:00+00:00,2020-12-01
javve/list.js,faressoft/terminalizer,2025-04-25 00:00:00+00:00,2025-04-01
jboss-javassist/javassist,bozbez/win-capture-audio,2021-05-06 00:00:00+00:00,2021-05-01
JakeWharton/timber,memochou1993/gpt-ai-assistant,2021-08-06 00:00:00+00:00,2021-08-01
js-cookie/js-cookie,0xZ0F/Z0FCourse_ReverseEngineering,2022-01-04 00:00:00+00:00,2022-01-01
ionic-team/ionicons,emojicode/emojicode,2022-09-30 00:00:00+00:00,2022-09-01
alibaba/MNN,netease-youdao/QAnything,2022-08-25 00:00:00+00:00,2022-08-01
dvajs/dva,Tencent/tinker,2019-11-01 00:00:00+00:00,2019-11-01
kriasoft/react-starter-kit,MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,2021-05-27 00:00:00+00:00,2021-05-01
gonglei007/GameDevMind,Alinshans/MyTinySTL,2025-05-01 00:00:00+00:00,2025-05-01
GopeedLab/gopeed,kardianos/service,2021-03-25 00:00:00+00:00,2021-03-01
alibaba/COLA,tariqbuilds/linux-dash,2022-07-13 00:00:00+00:00,2022-07-01
knqyf263/pet,Kr1s77/awesome-python-login-model,2021-11-16 00:00:00+00:00,2021-11-01
reactphp/reactphp,guillaumepotier/Parsley.js,2021-01-24 00:00:00+00:00,2021-01-01
mik3y/usb-serial-for-android,trojan-gfw/trojan,2019-11-15 00:00:00+00:00,2019-11-01
jamesmh/coravel,thoughtbot/hotwire-example-template,2021-06-23 00:00:00+00:00,2021-06-01
simshaun/recurr,fumiama/copymanga,2021-08-10 00:00:00+00:00,2021-08-01
mikepenz/AboutLibraries,FakeFishGames/Barotrauma,2020-01-18 00:00:00+00:00,2020-01-01
eirslett/frontend-maven-plugin,nemanjarogic/DesignPatternsLibrary,2020-10-04 00:00:00+00:00,2020-10-01
staudenmeir/eloquent-has-many-deep,stefanprodan/AspNetCoreRateLimit,2020-01-11 00:00:00+00:00,2020-01-01
rcore-os/rCore,symfony/console,2020-01-29 00:00:00+00:00,2020-01-01
acidanthera/OpenCorePkg,styled-system/styled-system,2020-11-27 00:00:00+00:00,2020-11-01
nikic/FastRoute,flike/kingshard,2021-04-12 00:00:00+00:00,2021-04-01
bobthecow/mustache.php,androiddevnotes/awesome-android-learning-resources,2024-05-10 00:00:00+00:00,2024-05-01
alexellis/k3sup,mail-in-a-box/mailinabox,2020-11-02 00:00:00+00:00,2020-11-01
brettwooldridge/HikariCP,aanand/git-up,2021-01-07 00:00:00+00:00,2021-01-01
lc/gau,SignalR/SignalR,2021-08-11 00:00:00+00:00,2021-08-01
uxlfoundation/oneTBB,rajkumardusad/IP-Tracer,2021-05-07 00:00:00+00:00,2021-05-01
wazero/wazero,n64decomp/sm64,2021-10-07 00:00:00+00:00,2021-10-01
twilio/twilio-php,mackron/miniaudio,2021-11-01 00:00:00+00:00,2021-11-01
ageitgey/face_recognition,WireGuard/wireguard-android,2020-02-20 00:00:00+00:00,2020-02-01
airbnb/ruby,leahneukirchen/nq,2023-02-09 00:00:00+00:00,2023-02-01
dzikoysk/reposilite,petewarden/dstk,2019-08-16 00:00:00+00:00,2019-08-01
interagent/prmd,fighting41love/funNLP,2025-02-06 00:00:00+00:00,2025-02-01
